cell_type,count,percentage,proportional_sample,sqrt_sample,stratified_sample
A2 amacrine cell,0,0.0,0,0,0
peptic cell,0,0.0,0,0,0
non-myelinating Schwann cell,0,0.0,0,0,0
non-pigmented ciliary epithelial cell,0,0.0,0,0,0
spermatogonium,0,0.0,0,0,0
spinal cord radial glial cell,0,0.0,0,0,0
spinous cell of epidermis,0,0.0,0,0,0
splanchnic mesodermal cell,0,0.0,0,0,0
squamous epithelial cell,0,0.0,0,0,0
sst GABAergic cortical interneuron,0,0.0,0,0,0
sst chodl GABAergic cortical interneuron,0,0.0,0,0,0
starburst amacrine cell,0,0.0,0,0,0
stellate neuron,0,0.0,0,0,0
stem cell,0,0.0,0,0,0
stem cell of epidermis,0,0.0,0,0,0
stratified epithelial cell,0,0.0,0,0,0
stratified squamous epithelial cell,0,0.0,0,0,0
striated cell of salivary gland,0,0.0,0,0,0
stromal cell of endometrium,0,0.0,0,0,0
stromal cell of lamina propria of small intestine,0,0.0,0,0,0
stromal cell of ovary,0,0.0,0,0,0
stromal cell of pancreas,0,0.0,0,0,0
subcutaneous adipocyte,0,0.0,0,0,0
supporting cell,0,0.0,0,0,0
supporting cell of vestibular epithelium,0,0.0,0,0,0
suprabasal keratinocyte,0,0.0,0,0,0
sympathetic neuron,0,0.0,0,0,0
spermatocyte,0,0.0,0,0,0
spermatid,0,0.0,0,0,0
somatic stem cell,0,0.0,0,0,0
skin fibroblast,0,0.0,0,0,0
serous cell of epithelium of bronchus,0,0.0,0,0,0
serous cell of epithelium of lobular bronchiole,0,0.0,0,0,0
serous cell of epithelium of trachea,0,0.0,0,0,0
serous secreting cell,0,0.0,0,0,0
serous secreting cell of bronchus submucosal gland,0,0.0,0,0,0
skeletal muscle fiber,0,0.0,0,0,0
skeletal muscle fibroblast,0,0.0,0,0,0
skeletal muscle myoblast,0,0.0,0,0,0
skeletal muscle satellite cell,0,0.0,0,0,0
skeletal muscle satellite stem cell,0,0.0,0,0,0
slow muscle cell,0,0.0,0,0,0
sncg GABAergic cortical interneuron,0,0.0,0,0,0
small intestine goblet cell,0,0.0,0,0,0
smooth muscle cell,0,0.0,0,0,0
smooth muscle cell of large intestine,0,0.0,0,0,0
smooth muscle cell of prostate,0,0.0,0,0,0
smooth muscle cell of small intestine,0,0.0,0,0,0
smooth muscle cell of sphincter of pupil,0,0.0,0,0,0
smooth muscle cell of the brain vasculature,0,0.0,0,0,0
smooth muscle cell of the pulmonary artery,0,0.0,0,0,0
smooth muscle fiber of ileum,0,0.0,0,0,0
smooth muscle myoblast,0,0.0,0,0,0
syncytiotrophoblast cell,0,0.0,0,0,0
taste receptor cell,0,0.0,0,0,0
tendon cell,0,0.0,0,0,0
urothelial cell,0,0.0,0,0,0
type I NK T cell,0,0.0,0,0,0
type I enteroendocrine cell,0,0.0,0,0,0
type I muscle cell,0,0.0,0,0,0
type II NK T cell,0,0.0,0,0,0
type II muscle cell,0,0.0,0,0,0
type L enteroendocrine cell,0,0.0,0,0,0
type N enteroendocrine cell,0,0.0,0,0,0
type X enteroendocrine cell,0,0.0,0,0,0
